id;state;date;amount;currency_name;currency_code;from;to;description
293898;EXECUTED;2023-05-14T18:57:16Z;14031;Peso;PHP;Visa 5962584244183755;Mastercard 8961651103972237;ѕеревод с карты на карту
1849472;EXECUTED;2021-09-24T14:59:04Z;21741;Yen;JPY;Visa 6665114452549732;American Express 7292521342622607;ѕеревод с карты на карту
2264916;EXECUTED;2020-12-04T22:59:07Z;25833;Yuan Renminbi;CNY;Discover 2227841726977189;Mastercard 3354646664448456;ѕеревод с карты на карту
5371445;PENDING;2023-10-19T03:51:33Z;19556;Yuan Renminbi;CNY;Discover 2269057629158313;Discover 1467530652300402;ѕеревод с карты на карту
5317785;EXECUTED;2020-02-17T01:03:47Z;29816;Zloty;PLN;;—чет 78438276133237705218;ќткрытие вклада
3373740;EXECUTED;2020-02-22T02:10:18Z;12439;Peso;MXN;Discover 3471032641828884;Mastercard 3506550658550576;ѕеревод с карты на карту
1527905;CANCELED;2021-01-15T05:10:15Z;19664;Hryvnia;UAH;Visa 9812145096080028;Mastercard 2052066307781062;ѕеревод с карты на карту
5447107;EXECUTED;2021-11-01T03:49:47Z;18924;Peso;MXN;Visa 1750234568535711;Mastercard 1365460456366991;ѕеревод с карты на карту
1690784;CANCELED;2021-11-02T02:03:05Z;27487;Rupiah;IDR;Mastercard 4126837433624990;Visa 1620199906118385;ѕеревод с карты на карту
1838163;EXECUTED;2020-12-11T05:45:02Z;18154;Yuan Renminbi;CNY;Mastercard 9557665746204580;Discover 0970136905701523;ѕеревод с карты на карту
5368178;PENDING;2020-07-07T13:57:01Z;22557;Yuan Renminbi;CNY;Mastercard 4225154400758745;Mastercard 0556460753444710;ѕеревод с карты на карту
1068715;PENDING;2023-08-03T16:00:37Z;18891;Yuan Renminbi;CNY;;—чет 04362233061130879079;ќткрытие вклада
302564;EXECUTED;2021-01-05T12:20:25Z;21153;Euro;EUR;;—чет 65381695235722669691;ќткрытие вклада
1408892;EXECUTED;2020-08-15T15:35:06Z;16101;Peso;COP;American Express 7606039262578692;—чет 35266864227613549441;ѕеревод организации
1556435;EXECUTED;2020-06-17T02:29:13Z;27776;Sol;PEN;Mastercard 1191143054153256;—чет 48560440734108989910;ѕеревод организации
2832473;EXECUTED;2022-01-11T00:56:43Z;12360;Euro;EUR;Discover 5736874734579262;Visa 7416410722264963;ѕеревод с карты на карту
448808;EXECUTED;2020-02-02T02:06:15Z;14192;Dollar;CAD;Mastercard 8790526356570257;Visa 4436252184653909;ѕеревод с карты на карту
3143449;EXECUTED;2023-08-31T11:11:51Z;32957;Real;BRL;Visa 9446732032111774;Mastercard 3661534380456235;ѕеревод с карты на карту
2196934;EXECUTED;2022-04-05T07:17:04Z;24588;Dinar;TND;—чет 68856226464168431377;—чет 64009673148302301520;ѕеревод со счета на счет
2051401;PENDING;2023-01-14T13:59:44Z;21616;Franc;XAF;Discover 8023806415405011;Discover 4330675064880873;ѕеревод с карты на карту
1724852;EXECUTED;2021-04-22T20:18:44Z;32530;Peso;COP;Discover 3003758800594505;Discover 3913900928954933;ѕеревод с карты на карту
3042949;CANCELED;2020-12-28T00:23:57Z;15619;Yen;JPY;—чет 89171183136098678575;—чет 37156155340203759995;ѕеревод со счета на счет
2035682;EXECUTED;2021-03-24T00:14:15Z;15992;Rupiah;IDR;Visa 9460814254923403;Visa 4565912603866373;ѕеревод с карты на карту
1801202;EXECUTED;2021-08-31T20:53:22Z;31579;Peso;PHP;—чет 75916879130750839461;—чет 89355195304817814223;ѕеревод организации
2377317;PENDING;2023-08-14T09:58:41Z;23305;Koruna;CZK;;—чет 60476196595963796362;ќткрытие вклада
1199673;EXECUTED;2020-10-07T08:49:52Z;25677;Peso;PHP;American Express 9868997595486172;Visa 0291209661494166;ѕеревод с карты на карту
2402660;EXECUTED;2020-03-01T14:39:08Z;11132;Dollar;CAD;;—чет 53522779957660382631;ќткрытие вклада
930103;EXECUTED;2020-11-30T08:30:48Z;12031;Rupiah;IDR;Mastercard 8149574569861684;Discover 1229618072674328;ѕеревод с карты на карту
3960261;EXECUTED;2020-04-12T17:56:59Z;18611;Dollar;USD;;—чет 05766968807462300151;ќткрытие вклада
1588406;EXECUTED;2021-01-01T14:58:40Z;19924;Rupiah;IDR;Mastercard 4505964110651645;American Express 9119180451193008;ѕеревод с карты на карту
332490;EXECUTED;2020-12-07T22:38:54Z;28162;Euro;EUR;;—чет 91982937938752279229;ќткрытие вклада
5134725;CANCELED;2023-11-09T13:19:45Z;16096;Quetzal;GTQ;—чет 57742872757718903241;—чет 60843316198982025818;ѕеревод со счета на счет
4011624;EXECUTED;2023-01-10T22:13:49Z;25311;Yuan Renminbi;CNY;Discover 6760437696186407;Mastercard 2625117508517464;ѕеревод с карты на карту
4739714;CANCELED;2021-03-16T09:50:38Z;29700;Baht;THB;Discover 5448680041474638;—чет 81509213611289630443;ѕеревод организации
1458490;CANCELED;2022-07-27T14:48:56Z;12715;Rupiah;IDR;Mastercard 7898353316523010;Discover 7865481033896023;ѕеревод с карты на карту
4115243;EXECUTED;2020-10-02T00:58:23Z;33795;Ariary;MGA;Mastercard 4128552733966298;Visa 3778726670159351;ѕеревод с карты на карту
3231212;EXECUTED;2021-12-07T14:29:02Z;25077;Real;BRL;Mastercard 7071811090567326;Visa 3745592687709450;ѕеревод с карты на карту
1781876;PENDING;2023-02-20T11:08:40Z;24586;Franc;XAF;American Express 4188660988695878;American Express 4670165143133955;ѕеревод с карты на карту
3422007;EXECUTED;2022-02-16T00:17:31Z;14786;Peso;PHP;—чет 85848394284577523191;—чет 40992043018007723745;ѕеревод организации
2833087;EXECUTED;2022-09-02T21:13:15Z;28421;Hryvnia;UAH;—чет 93938816885471635309;—чет 27679999248091965215;ѕеревод со счета на счет
3211835;CANCELED;2020-07-03T13:56:11Z;30035;Rial;QAR;Visa 8001999082783412;Mastercard 0430116126947445;ѕеревод с карты на карту
2627887;CANCELED;2020-01-03T17:08:51Z;18001;Yuan Renminbi;CNY;Mastercard 8757974222871146;Discover 7955094807047223;ѕеревод с карты на карту
;;;;;;;;
632926;PENDING;2021-11-27T00:46:09Z;29553;Yuan Renminbi;CNY;American Express 6477627838877562;—чет 88381741644903346269;ѕеревод организации
1539387;EXECUTED;2023-07-29T18:13:23Z;13130;Real;BRL;American Express 9646246622784373;American Express 2760544280145973;ѕеревод с карты на карту
2919081;EXECUTED;2021-12-23T06:40:02Z;23726;Rupiah;IDR;Mastercard 6966877136646759;Mastercard 7149835655551156;ѕеревод с карты на карту
5409974;EXECUTED;2022-12-20T08:11:01Z;11789;Franc;CDF;Discover 0845299006275838;Discover 2238215145916055;ѕеревод с карты на карту
1465795;EXECUTED;2023-10-28T22:58:25Z;12963;Rupiah;IDR;;—чет 83116045167866860279;ќткрытие вклада
5055836;PENDING;2022-04-05T03:29:08Z;24796;Zloty;PLN;Mastercard 3588035503290783;—чет 44168961306050363869;ѕеревод организации
282352;PENDING;2020-12-26T09:39:00Z;32566;Rupiah;IDR;;—чет 87117715624747483097;ќткрытие вклада
38740;CANCELED;2023-03-02T12:46:35Z;33674;Ariary;MGA;—чет 61015985923842638044;—чет 34727735024098321865;ѕеревод со счета на счет
1803973;EXECUTED;2021-09-09T20:25:03Z;13009;Peso;PHP;Mastercard 0079195383170544;Discover 7445133491149659;ѕеревод с карты на карту
3162071;EXECUTED;2022-11-02T17:44:03Z;20231;Rial;YER;American Express 9087124023963879;Visa 0990855089517781;ѕеревод с карты на карту
3463793;PENDING;2020-02-25T07:24:59Z;17655;Ruble;RUB;Mastercard 4597611385572324;Visa 0264849140954307;ѕеревод с карты на карту
2583513;EXECUTED;2020-05-08T02:59:40Z;30473;Yen;JPY;American Express 4260348734990886;Discover 1623518562383702;ѕеревод с карты на карту
4259899;EXECUTED;2021-08-11T12:25:51Z;12851;Yuan Renminbi;CNY;Discover 0600840143829444;Mastercard 7956693555283113;ѕеревод с карты на карту
2537217;EXECUTED;2023-06-27T19:53:05Z;25820;Yuan Renminbi;CNY;American Express 6339650600215322;Discover 8283404354492955;ѕеревод с карты на карту
2599473;EXECUTED;2021-07-04T01:56:56Z;22779;Krone;NOK;Mastercard 2283997217382528;—чет 17324177990501599734;ѕеревод организации
857580;CANCELED;2021-09-12T03:53:28Z;27751;Yuan Renminbi;CNY;Visa 0651250633302056;Visa 3311516734954339;ѕеревод с карты на карту
5008516;PENDING;2023-06-30T04:31:34Z;19988;Baht;THB;Discover 0631296518388969;Mastercard 6497034908492124;ѕеревод с карты на карту
1371181;EXECUTED;2021-12-29T01:39:49Z;26515;Peso;PHP;American Express 5977388088493805;American Express 6189163301783812;ѕеревод с карты на карту
1473389;EXECUTED;2023-08-30T00:58:36Z;18420;Ruble;RUB;Mastercard 3093124722348405;American Express 6950002720800411;ѕеревод с карты на карту
1453305;PENDING;2020-06-07T02:07:57Z;12234;Ruble;RUB;Visa 6644696207526766;Mastercard 8548964838326541;ѕеревод с карты на карту
5062109;CANCELED;2023-02-22T23:31:32Z;22084;Rupiah;IDR;Visa 4615344126170341;American Express 9623944081120709;ѕеревод с карты на карту
911402;EXECUTED;2022-09-23T21:18:55Z;22900;Real;BRL;;—чет 16907871406772371230;ќткрытие вклада
2654815;EXECUTED;2022-06-22T14:01:51Z;17009;Won;KRW;Mastercard 8450843686918928;Visa 8423771049920650;ѕеревод с карты на карту
5271661;EXECUTED;2020-03-06T10:36:55Z;20641;Dollar;NAD;;—чет 50213882587846819729;ќткрытие вклада
2765968;EXECUTED;2022-04-12T04:23:56Z;18108;Euro;EUR;Mastercard 6684485418787422;American Express 5590025961851078;ѕеревод с карты на карту
5434073;PENDING;2020-10-16T00:33:26Z;33634;Euro;EUR;Discover 6079985810069539;American Express 4187003076609282;ѕеревод с карты на карту
3438176;EXECUTED;2020-05-12T14:33:20Z;22425;Franc;CHF;Visa 9207427562974659;Visa 1817584319181554;ѕеревод с карты на карту
5305859;CANCELED;2022-02-03T13:43:10Z;18940;Ruble;RUB;American Express 7575628496748633;American Express 8201977224219171;ѕеревод с карты на карту
3144804;EXECUTED;2023-03-16T18:31:45Z;20039;Yen;JPY;Visa 4687457674551698;Mastercard 7020431385343637;ѕеревод с карты на карту
1740751;EXECUTED;2021-09-08T22:23:31Z;34518;Yuan Renminbi;CNY;—чет 30907628929571752743;—чет 35863137762112178701;ѕеревод со счета на счет
2826625;EXECUTED;2022-01-21T02:42:20Z;28564;Krona;SEK;Visa 2434960923372230;—чет 62389310054726732233;ѕеревод организации
1738376;CANCELED;2020-10-24T04:37:19Z;13638;Yen;JPY;Discover 5838445654310457;Mastercard 1227184681117045;ѕеревод с карты на карту
4224500;EXECUTED;2022-06-03T06:31:10Z;30213;Rupiah;IDR;Visa 8252693278307583;American Express 1020430252920987;ѕеревод с карты на карту
212502;EXECUTED;2021-12-03T14:07:06Z;21574;Ruble;RUB;—чет 22246813624466689601;—чет 60148056083328746527;ѕеревод со счета на счет
114972;EXECUTED;2023-06-24T01:38:20Z;32229;Shilling;KES;Discover 5007569730322358;American Express 2958606820247711;ѕеревод с карты на карту
671277;CANCELED;2021-10-11T07:33:00Z;30298;Krona;SEK;—чет 41751976927052945311;—чет 34771784449161833522;ѕеревод со счета на счет
2226926;EXECUTED;2022-06-05T09:24:11Z;14160;Dollar;CAD;;—чет 44814275798453591877;ќткрытие вклада
2145163;EXECUTED;2023-09-05T11:13:43Z;16619;Peso;PHP;Discover 8101224027967385;Discover 9262726024187665;ѕеревод с карты на карту
141605;CANCELED;2023-10-07T19:46:26Z;33915;Yuan Renminbi;CNY;Discover 6442824834772713;American Express 1908030991731165;ѕеревод с карты на карту
5336250;CANCELED;2021-06-05T05:02:49Z;23921;Dollar;CAD;Mastercard 2120006197645411;Mastercard 1057574701753363;ѕеревод с карты на карту
5379915;PENDING;2023-08-20T02:53:09Z;24850;Yen;JPY;;—чет 36811391490389049691;ќткрытие вклада
368297;PENDING;2022-04-20T01:43:35Z;12362;Sol;PEN;;—чет 73197209028710375773;ќткрытие вклада
5237484;EXECUTED;2023-07-08T04:43:13Z;13203;Ringgit;MYR;;—чет 73197209028710375773;ќткрытие вклада
744365;PENDING;2022-05-03T05:05:11Z;22652;Dollar;USD;Discover 8093960331401116;Mastercard 1224722159463490;ѕеревод с карты на карту
1221992;PENDING;2021-02-19T13:25:33Z;12918;Ruble;RUB;Mastercard 9775497812609116;Discover 5944506116473459;ѕеревод с карты на карту
3518973;PENDING;2023-10-11T01:03:20Z;19653;Peso;PHP;Visa 0383646897791685;American Express 9980918985573635;ѕеревод с карты на карту
1938515;EXECUTED;2020-06-28T08:05:59Z;32403;Real;BRL;Visa 6286846678069943;Discover 7898377001181997;ѕеревод с карты на карту
1889327;CANCELED;2021-07-25T20:51:01Z;20737;Pula;BWP;Visa 7604360599392546;Visa 7942944018455176;ѕеревод с карты на карту
2436288;EXECUTED;2022-05-24T05:35:23Z;23234;Peso;PHP;American Express 2565635444214491;American Express 0552044753090993;ѕеревод с карты на карту
3436241;EXECUTED;2023-10-20T21:00:39Z;31741;Ruble;RUB;American Express 5313948287096164;Discover 0329774489991288;ѕеревод с карты на карту
443315;EXECUTED;2021-08-07T07:02:43Z;34519;Tenge;KZT;American Express 5416179213106657;Mastercard 0160958229240256;ѕеревод с карты на карту
1830974;EXECUTED;2022-12-30T06:06:05Z;19103;Yuan Renminbi;CNY;Discover 0466471728887794;Visa 8191405185557433;ѕеревод с карты на карту
2959230;EXECUTED;2022-01-02T10:07:04Z;28500;Rupiah;IDR;Mastercard 4570025114606266;Discover 4329800474005700;ѕеревод с карты на карту
3513019;PENDING;2022-09-02T05:55:52Z;13127;Yuan Renminbi;CNY;Discover 3114252861244492;Visa 4627389712448189;ѕеревод с карты на карту
3317385;EXECUTED;2022-07-10T09:24:28Z;15540;Won;KPW;Visa 8673177068866844;Discover 4042375592477197;ѕеревод с карты на карту
72219;EXECUTED;2023-08-09T03:54:59Z;28868;Koruna;CZK;;—чет 65771273382053145248;ќткрытие вклада
5120424;EXECUTED;2022-06-21T04:33:39Z;16623;Yuan Renminbi;CNY;American Express 1754261926422113;American Express 1912246230374869;ѕеревод с карты на карту
2515993;EXECUTED;2023-08-17T02:28:57Z;20586;Yuan Renminbi;CNY;Discover 6821572971032824;Discover 7288948724353737;ѕеревод с карты на карту
3652648;CANCELED;2023-07-13T15:38:12Z;22479;Franc;XOF;—чет 70461671296717370428;—чет 52445033864538587695;ѕеревод со счета на счет
2189906;EXECUTED;2022-01-02T17:51:07Z;26418;Euro;EUR;—чет 32587148810728665069;—чет 80122675086638061370;ѕеревод со счета на счет
1867775;EXECUTED;2021-03-26T19:04:51Z;24063;Dollar;NZD;American Express 3879946924528107;—чет 29289561285454675688;ѕеревод организации
2683394;EXECUTED;2023-10-27T15:35:50Z;21830;Yuan Renminbi;CNY;;—чет 93654567547380187741;ќткрытие вклада
2239866;EXECUTED;2022-04-18T18:51:53Z;24567;Yuan Renminbi;CNY;;—чет 90027224340328984499;ќткрытие вклада
4003913;EXECUTED;2022-12-06T19:06:56Z;14530;Peso;PHP;Discover 4573982311494005;Mastercard 4935476635235091;ѕеревод с карты на карту
2979557;EXECUTED;2023-07-13T13:58:49Z;26279;Euro;EUR;—чет 28694210812172680482;—чет 92356841239087789939;ѕеревод со счета на счет
405067;EXECUTED;2022-11-28T17:52:43Z;21008;Baht;THB;;—чет 70415428501870008564;ќткрытие вклада
2914913;EXECUTED;2020-11-18T21:17:05Z;13888;Rupiah;IDR;American Express 8063285986699650;Mastercard 1695740993384893;ѕеревод с карты на карту
1441986;EXECUTED;2020-04-30T08:37:17Z;14356;Rupiah;IDR;American Express 9143190180821093;Visa 1754001355342425;ѕеревод с карты на карту
4967751;CANCELED;2022-08-01T17:16:42Z;18241;Ruble;RUB;Discover 2510997056903668;Visa 5176450912871980;ѕеревод с карты на карту
1379139;PENDING;2022-05-24T20:41:16Z;14160;Manat;AZN;Discover 9659662475890450;Discover 1864760256062832;ѕеревод с карты на карту
3497395;EXECUTED;2020-04-13T22:31:01Z;27769;Krona;SEK;;—чет 45541055869952197495;ќткрытие вклада
4612198;EXECUTED;2020-07-19T03:15:49Z;21163;Pound;EGP;;—чет 06046825775893944654;ќткрытие вклада
4443353;EXECUTED;2022-03-11T09:55:29Z;26401;Yuan Renminbi;CNY;American Express 9169124843687636;Visa 2934477295358099;ѕеревод с карты на карту
1522040;EXECUTED;2023-04-09T13:31:31Z;15020;Peso;CLP;Mastercard 9147085041595377;American Express 8088958095150478;ѕеревод с карты на карту
4398796;EXECUTED;2022-01-10T02:59:51Z;20293;Zloty;PLN;American Express 1247216335781067;Mastercard 5715944033433205;ѕеревод с карты на карту
5064981;EXECUTED;2020-06-14T21:50:32Z;34544;Shilling;KES;;—чет 87162801326160110075;ќткрытие вклада
1387413;EXECUTED;2020-07-09T23:28:14Z;16028;Shekel;ILS;;—чет 97502862442965698121;ќткрытие вклада
2948386;EXECUTED;2023-04-01T12:02:06Z;26405;Yuan Renminbi;CNY;American Express 7682181798464709;—чет 93737829810907580744;ѕеревод организации
3123481;CANCELED;2023-07-15T01:02:42Z;13578;Rupiah;IDR;Mastercard 5680368377764854;American Express 1298846920198860;ѕеревод с карты на карту
512976;EXECUTED;2022-02-10T02:59:35Z;14342;Naira;NGN;American Express 2479027296417707;Mastercard 2118723450691392;ѕеревод с карты на карту
3306334;CANCELED;2023-10-04T21:31:52Z;20825;Yen;JPY;Visa 1029598091153362;—чет 66817481936655029590;ѕеревод организации
2611948;PENDING;2022-02-08T17:16:05Z;15911;Ruble;RUB;Discover 6348321385395461;Mastercard 7325946652944710;ѕеревод с карты на карту
4210081;CANCELED;2022-06-01T20:40:14Z;20882;Pound;EGP;;—чет 20588590232394945686;ќткрытие вклада
4924104;PENDING;2021-06-07T17:23:26Z;13036;Ariary;MGA;Mastercard 9984189726356135;American Express 9496683068632548;ѕеревод с карты на карту
1453528;EXECUTED;2020-12-26T12:22:59Z;24614;Sol;PEN;American Express 0874438357929097;American Express 2043827488585986;ѕеревод с карты на карту
3833383;EXECUTED;2020-10-20T04:30:41Z;24706;Yuan Renminbi;CNY;Mastercard 1333736453866448;American Express 2001671059412435;ѕеревод с карты на карту
1300014;EXECUTED;2021-03-23T17:28:38Z;16276;Dram;AMD;Discover 5462310471174855;Mastercard 5051030951146472;ѕеревод с карты на карту
3456154;PENDING;2022-02-02T11:46:42Z;16193;Yuan Renminbi;CNY;Visa 8600999617172909;Visa 2844866498722428;ѕеревод с карты на карту
3685558;CANCELED;2022-05-06T15:14:42Z;26570;Ruble;RUB;Mastercard 7004562378757988;Mastercard 0825255021365694;ѕеревод с карты на карту
1165374;EXECUTED;2023-05-28T07:44:37Z;18924;Dong;VND;Discover 6573220609816188;Discover 9351896556617255;ѕеревод с карты на карту
726807;EXECUTED;2023-02-10T07:31:41Z;19955;Dirham;MAD;—чет 06636613357397067467;—чет 03936975258912077744;ѕеревод со счета на счет
1902667;CANCELED;2020-02-24T08:31:11Z;25859;Yuan Renminbi;CNY;Discover 1601792099597360;Visa 0293980784507463;ѕеревод с карты на карту
327307;CANCELED;2020-12-05T15:49:25Z;14306;Yuan Renminbi;CNY;American Express 9028896043787749;Visa 5928608009409515;ѕеревод с карты на карту
439075;EXECUTED;2020-07-27T01:54:01Z;28260;Zloty;PLN;American Express 3972065433339638;Visa 6170999529692389;ѕеревод с карты на карту
1927497;EXECUTED;2020-10-29T22:42:43Z;29760;Peso;PHP;—чет 21135355953772999542;—чет 55887498738869235832;ѕеревод со счета на счет
4389067;EXECUTED;2023-11-10T05:12:57Z;20539;Peso;CUP;Visa 1046601770510966;Visa 3844034954049614;ѕеревод с карты на карту
2785941;CANCELED;2021-02-09T05:55:48Z;22227;Peso;PHP;Visa 1211736622503262;Discover 4573836066399753;ѕеревод с карты на карту
2756393;EXECUTED;2020-07-30T13:08:10Z;14422;Yuan Renminbi;CNY;;—чет 32748708969169200933;ќткрытие вклада
599027;PENDING;2022-02-21T02:56:37Z;12373;Yuan Renminbi;CNY;American Express 6311535048493715;Discover 6103555688511371;ѕеревод с карты на карту
3080764;EXECUTED;2020-04-05T17:15:05Z;24757;Yuan Renminbi;CNY;Mastercard 0249962785252276;Mastercard 3497558588626189;ѕеревод с карты на карту
680730;EXECUTED;2022-07-26T12:57:15Z;29492;Baht;THB;Visa 9022982028350429;Mastercard 2122026619911974;ѕеревод с карты на карту
3327991;PENDING;2020-01-02T14:56:56Z;21565;Tenge;KZT;Visa 6101438539947726;Mastercard 1093643052935424;ѕеревод с карты на карту
3036684;EXECUTED;2022-03-25T01:54:48Z;22818;Ruble;RUB;American Express 5289343085624249;—чет 37876144219366357273;ѕеревод организации
3061748;CANCELED;2020-06-17T11:50:30Z;28322;Yuan Renminbi;CNY;Visa 1359185537481291;Discover 0843636635891776;ѕеревод с карты на карту
2960398;EXECUTED;2022-06-18T06:48:37Z;24677;Shekel;ILS;Discover 7324391935910827;American Express 7921742013738369;ѕеревод с карты на карту
216268;EXECUTED;2021-12-16T16:30:47Z;29188;Rupiah;IDR;;—чет 85522230938749372427;ќткрытие вклада
3113401;EXECUTED;2021-09-13T01:50:43Z;20356;Shekel;ILS;Visa 0723667105507272;American Express 9942207938412902;ѕеревод с карты на карту
1802648;EXECUTED;2022-12-31T08:49:27Z;21591;Yen;JPY;Discover 8645223566080480;Discover 1228012474535802;ѕеревод с карты на карту
603367;CANCELED;2022-05-01T09:41:33Z;19253;Rial;IRR;Visa 8108956690063326;—чет 37037858323164558189;ѕеревод организации
3425560;EXECUTED;2023-08-05T07:49:52Z;28847;Kuna;HRK;Mastercard 6032275004365579;Mastercard 0183189965945417;ѕеревод с карты на карту
4768701;PENDING;2022-07-28T07:11:34Z;14922;Rupiah;IDR;Discover 9845271582621310;Discover 2528293109343153;ѕеревод с карты на карту
230224;EXECUTED;2023-05-06T05:22:48Z;26228;Hryvnia;UAH;American Express 8220175236913887;Mastercard 4802624159804288;ѕеревод с карты на карту
2850514;PENDING;2020-12-28T17:53:13Z;23686;Lek;ALL;Discover 9576458861815708;Mastercard 4321975182864595;ѕеревод с карты на карту
4234448;CANCELED;2023-09-08T10:10:17Z;24237;Hryvnia;UAH;;—чет 97314618742902814769;ќткрытие вклада
1279142;PENDING;2020-02-12T13:37:23Z;16376;Yen;JPY;Mastercard 5444471272260826;Visa 9213489075974563;ѕеревод с карты на карту
1388171;EXECUTED;2023-07-14T15:11:56Z;12150;Dollar;BSD;Mastercard 3773074923283720;Mastercard 6858852082832671;ѕеревод с карты на карту
5338004;EXECUTED;2020-03-30T20:13:31Z;24128;Yuan Renminbi;CNY;Mastercard 0188382670172599;—чет 29330609189568305731;ѕеревод организации
2514202;EXECUTED;2021-09-04T02:12:30Z;31609;Real;BRL;;—чет 04404258976890644934;ќткрытие вклада
1617731;EXECUTED;2021-11-10T16:27:02Z;29279;Rupiah;IDR;—чет 91299877420956980418;—чет 97627688254834676901;ѕеревод со счета на счет
349946;EXECUTED;2023-08-06T06:33:13Z;23742;Rupiah;IDR;;—чет 31470633517516216972;ќткрытие вклада
2300960;PENDING;2020-05-10T21:18:59Z;21170;Euro;EUR;American Express 2077167756122624;—чет 12692107571051189313;ѕеревод организации
3015231;PENDING;2022-01-13T03:15:00Z;21470;Rupiah;IDR;Mastercard 9800302102501629;Mastercard 2405382947502377;ѕеревод с карты на карту
2413465;CANCELED;2021-05-02T07:34:35Z;34576;Euro;EUR;American Express 9594487834827260;Discover 3052691668030750;ѕеревод с карты на карту
2037712;EXECUTED;2023-07-31T16:44:50Z;11562;Ruble;RUB;American Express 6902837737884644;American Express 1368443024115273;ѕеревод с карты на карту
1380530;PENDING;2023-05-22T12:49:50Z;32118;Dong;VND;Discover 1625204231900607;Mastercard 6547698108887955;ѕеревод с карты на карту
724939;CANCELED;2020-10-28T00:51:11Z;20082;Yuan Renminbi;CNY;Discover 2285798156070275;Visa 9513919641330425;ѕеревод с карты на карту
3232597;EXECUTED;2020-11-22T14:09:37Z;28208;Franc;XAF;American Express 2933932533113054;Discover 6226871375970632;ѕеревод с карты на карту
4200454;EXECUTED;2022-03-29T14:25:48Z;22057;Real;BRL;Mastercard 5392506448758414;American Express 2183728061661120;ѕеревод с карты на карту
1476839;EXECUTED;2021-05-11T06:26:06Z;24829;Krona;SEK;;—чет 89272272688021038059;ќткрытие вклада
5334238;EXECUTED;2023-07-08T18:38:35Z;32091;Yuan Renminbi;CNY;;—чет 01298833605277162165;ќткрытие вклада
3415187;PENDING;2022-10-10T00:58:18Z;25180;Rupiah;IDR;American Express 0358075953034789;Visa 7020384213026064;ѕеревод с карты на карту
3393428;CANCELED;2020-10-03T18:58:14Z;26366;Zloty;PLN;Discover 6041689343106380;American Express 1961663078355667;ѕеревод с карты на карту
4026887;PENDING;2021-11-18T07:16:36Z;34138;Rupiah;IDR;Discover 1747353075279525;Visa 3125438085014296;ѕеревод с карты на карту
1351481;EXECUTED;2020-05-03T22:09:55Z;30476;Rupiah;IDR;Visa 6798617315186545;Mastercard 6604789652209646;ѕеревод с карты на карту
3586258;EXECUTED;2021-02-15T09:26:06Z;31645;Rupiah;IDR;;—чет 56497431151249388507;ќткрытие вклада
